Date,Close,Adj Close,Volume,DGS10,VIXCLS
2022-06-22,115.18,103.62,"9,842,700",3.16,28.95
2022-06-23,113.92,102.49,"11,851,500",3.09,29.05
2022-06-24,117.32,105.55,"14,841,100",3.13,27.23
2022-06-27,116.38,104.7,"11,280,500",3.2,26.95
2022-06-28,115.82,104.2,"11,590,900",3.2,28.36
2022-06-29,115.3,103.73,"9,338,400",3.1,28.16
2022-06-30,112.61,101.31,"15,172,600",2.98,28.71
2022-07-01,114.05,102.61,"10,573,600",2.88,26.7
2022-07-05,112.62,102.22,"12,514,200",2.82,27.54
2022-07-06,111.89,101.55,"10,656,200",2.93,26.73
2022-07-07,114.72,104.12,"10,347,400",3.01,26.08
2022-07-08,114.36,103.8,"8,807,800",3.09,24.64
2022-07-11,112.86,102.43,"7,939,500",2.99,26.17
2022-07-12,112.97,102.53,"11,250,900",2.96,27.29
2022-07-13,111.91,101.57,"12,979,900",2.91,26.82
2022-07-14,108.0,98.02,"26,204,800",2.96,26.4
2022-07-15,112.95,102.52,"18,863,900",2.93,24.23
2022-07-18,111.79,101.46,"13,977,900",2.96,25.3
